Date,Value
2024-03-31,23.76
2024-03-30,25.03
2024-03-29,29.08
2024-03-28,37.89
2024-03-27,39.82
2024-03-26,34.98
2024-03-25,29.62
2024-03-24,21.24
2024-03-23,21.39
2024-03-22,27.91
2024-03-21,33.97
2024-03-20,38.89
2024-03-19,44.98
2024-03-18,40.44
2024-03-17,32.28
2024-03-16,37.41
2024-03-15,45.74
2024-03-14,56.89
2024-03-13,64.57
2024-03-12,64.39
2024-03-11,72.31
2024-03-10,63.68
2024-03-09,59.06
2024-03-08,66.05
2024-03-07,74.42
2024-03-06,83.46
2024-03-05,98.68
2024-03-04,86.44
2024-03-03,54.77
2024-03-02,52.44
2024-03-01,58.41
2024-02-29,74.11
2024-02-28,65.49
2024-02-27,52.08
2024-02-26,44.05
2024-02-25,31.69
2024-02-24,30.79
2024-02-23,44.87
2024-02-22,51.38
2024-02-21,43.66
2024-02-20,41.43
2024-02-19,37.55
2024-02-18,25.48
2024-02-17,22.61
2024-02-16,30.84
2024-02-15,39.17
2024-02-14,30.06
2024-02-13,34.49
2024-02-12,43.87
2024-02-11,30.47
