Date,Value
2015-07-30,0
2015-07-31,0
2015-08-01,0
2015-08-02,0
2015-08-03,0
2015-08-04,0
2015-08-05,0
2015-08-06,0
2015-08-07,604.68
2015-08-08,322.71
2015-08-09,475.47
2015-08-10,421.65
2015-08-11,77.84
2015-08-12,444.9
2015-08-13,268.68
2015-08-14,193.46
2015-08-15,144.37
2015-08-16,120.94
2015-08-17,132.15
2015-08-18,146.51
2015-08-19,194.58
2015-08-20,99.01
2015-08-21,79.54
2015-08-22,552.84
2015-08-23,73.44
2015-08-24,92.41
2015-08-25,76.43
2015-08-26,60.48
2015-08-27,59.31
2015-08-28,92.88
2015-08-29,56.21
2015-08-30,55.16
2015-08-31,58.42
2015-09-01,56.67
2015-09-02,59.24
2015-09-03,55.05
2015-09-04,58.78
2015-09-05,54.77
2015-09-06,55.09
2015-09-07,53.59
2015-09-08,64.93
2015-09-09,53.78
2015-09-10,54.63
2015-09-11,55.71
2015-09-12,61.83
2015-09-13,52.31
2015-09-14,53.77
2015-09-15,53.19
2015-09-16,111.52
2015-09-17,55.64
2015-09-18,55.7
2015-09-19,51.64
2015-09-20,52.91
2015-09-21,51.17
2015-09-22,51.47
2015-09-23,51.73
2015-09-24,54.26
2015-09-25,52.3
2015-09-26,55.32
2015-09-27,51.03
2015-09-28,52.68
2015-09-29,55.44
2015-09-30,51.46
2015-10-01,51.47
2015-10-02,52.57
2015-10-03,52.5
2015-10-04,50.73
2015-10-05,50.74
2015-10-06,51.38
2015-10-07,51.18
2015-10-08,56.97
2015-10-09,61.96
2015-10-10,64.89
2015-10-11,56.32
2015-10-12,51.36
2015-10-13,53.22
2015-10-14,57.98
2015-10-15,54.82
2015-10-16,53.4
2015-10-17,53.62
2015-10-18,52.01
2015-10-19,52.46
2015-10-20,53.77
2015-10-21,53.59
2015-10-22,57.25
2015-10-23,51.21
2015-10-24,50.75
2015-10-25,51.64
2015-10-26,54.59
2015-10-27,53.53
2015-10-28,54.79
2015-10-29,52.36
2015-10-30,54.02
2015-10-31,53.75
2015-11-01,50.75
2015-11-02,53.16
2015-11-03,51.58
2015-11-04,52.24
2015-11-05,52.99
2015-11-06,52.18
2015-11-07,51.94
2015-11-08,52.41
2015-11-09,51.92
2015-11-10,52.24
2015-11-11,52.56
2015-11-12,59.05
2015-11-13,51.53
2015-11-14,51.22
2015-11-15,51.54
2015-11-16,56.77
2015-11-17,56.3
2015-11-18,53.52
2015-11-19,54.12
2015-11-20,54.38
2015-11-21,54.04
2015-11-22,53.79
2015-11-23,55.63
2015-11-24,58.04
2015-11-25,54.24
2015-11-26,53.99
2015-11-27,53.46
2015-11-28,54.31
2015-11-29,53.32
2015-11-30,55.2
2015-12-01,54.84
2015-12-02,53.59
2015-12-03,53.56
2015-12-04,53.92
2015-12-05,54.43
2015-12-06,53.9
2015-12-07,53.99
2015-12-08,53.74
2015-12-09,54.73
2015-12-10,54.94
2015-12-11,58.2
2015-12-12,59.49
2015-12-13,56.7
2015-12-14,53.37
2015-12-15,62.65
2015-12-16,54.03
2015-12-17,55.08
2015-12-18,55.03
2015-12-19,53.89
2015-12-20,53.34
2015-12-21,53.47
2015-12-22,53.63
2015-12-23,55.66
2015-12-24,52.79
2015-12-25,53.55
2015-12-26,53.68
2015-12-27,66.85
2015-12-28,53.11
2015-12-29,53.73
2015-12-30,56.72
2015-12-31,57.66
2016-01-01,54.75
2016-01-02,53.32
2016-01-03,53.34
2016-01-04,54.04
2016-01-05,57.08
2016-01-06,53.72
2016-01-07,53.27
2016-01-08,53.8
2016-01-09,53.28
2016-01-10,53.1
2016-01-11,53.94
2016-01-12,54.53
2016-01-13,58.26
2016-01-14,55.25
2016-01-15,57.56
