,ds,yhat,yhat_lower,yhat_upper,y,cutoff
0,2021-04-23,151.5250610834894,95.21784531366713,210.1127850172479,124.22,2021-04-22
1,2021-04-24,150.53442816013393,93.0150628031329,207.7889428777915,67.65,2021-04-23
2,2021-04-25,145.46388073152062,90.92446681389302,201.10240916211572,55.42,2021-04-24
3,2021-04-26,151.83489249058738,95.83683846156156,211.83079634370958,62.69,2021-04-25
4,2021-04-27,151.6079543744962,95.9774765271896,207.53683493294102,66.94,2021-04-26
5,2021-04-28,151.43724918498603,95.33670797019796,209.3279021379919,79.19,2021-04-27
6,2021-04-29,154.59215757540983,98.70423296483183,212.3498839878224,71.84,2021-04-28
7,2021-04-30,148.0200116825078,93.65121732618883,202.5455916385647,56.78,2021-04-29
8,2021-05-01,143.12345886607358,86.00376988270222,201.42692090180321,59.68,2021-04-30
9,2021-05-02,139.41700694199378,86.52750928957006,199.71837456423094,43.1,2021-05-01
10,2021-05-03,144.19131378403333,90.32452915073642,199.54210765374222,66.9,2021-05-02
11,2021-05-04,143.43586089598074,86.51163810757643,203.38623775828628,69.1,2021-05-03
12,2021-05-05,143.3461813511944,85.63394309007158,198.98853432311438,59.39,2021-05-04
13,2021-05-06,144.85543566220127,85.81582014549467,205.54469732720543,65.94,2021-05-05
14,2021-05-07,139.73089725225844,88.05623754978318,200.7889762001108,68.35,2021-05-06
15,2021-05-08,134.2183292857649,76.73092745536452,193.4181252489533,139.81,2021-05-07
16,2021-05-09,132.25978547057653,77.483184216163,189.27905784182346,130.67,2021-05-08
17,2021-05-10,137.92991614831607,80.09840744969422,195.92313672347166,238.39,2021-05-09
18,2021-05-11,141.60846318835036,82.63262751812921,198.39432253843214,298.77,2021-05-10
19,2021-05-12,147.33077982814572,86.69983366124633,206.5449985148023,281.83,2021-05-11
20,2021-05-13,153.7721985331735,94.51033884797975,212.4306988253327,170.57,2021-05-12
21,2021-05-14,149.85398661066463,87.67836003390228,209.4078624562334,128.8,2021-05-13
22,2021-05-15,146.49025846300728,92.11205049795616,198.69541675539608,93.12,2021-05-14
23,2021-05-16,144.57542178296967,86.92697077960624,200.34445369379478,81.3,2021-05-15
24,2021-05-17,150.54197536870143,91.97475998182307,208.7149642578095,95.49,2021-05-16
25,2021-05-18,151.03215816200125,91.74305791456024,207.96943801201647,88.03,2021-05-17
26,2021-05-19,153.89537304781663,95.21477278776945,208.8457561925468,298.78,2021-05-18
27,2021-05-20,160.63197913912242,104.38456720370502,218.68856241369852,126.96,2021-05-19
28,2021-05-21,155.7077316900985,99.56966330507026,215.18615867029345,114.6,2021-05-20
29,2021-05-22,152.50779196884366,94.15581442604655,210.62225117882926,56.33,2021-05-21
30,2021-05-23,149.5978344241192,89.68276938070744,204.54450914947844,143.67,2021-05-22
31,2021-05-24,157.1017502251866,96.44048206602231,214.26777193141226,68.47,2021-05-23
32,2021-05-25,158.18291645718728,98.54846983782014,214.29202601802018,51.92,2021-05-24
33,2021-05-26,159.48340503342718,100.15531829306626,218.87079002757721,50.15,2021-05-25
34,2021-05-27,161.14652332327879,101.2701176244348,222.55233463404872,39.44,2021-05-26
35,2021-05-28,155.58733294544638,97.7497706696616,216.96256235112642,40.89,2021-05-27
36,2021-05-29,150.32286285986788,91.44824766716981,208.27752080887137,32.98,2021-05-28
37,2021-05-30,147.21862162552662,86.83941836520803,208.02908228517063,28.08,2021-05-29
38,2021-05-31,151.7942178004799,92.33937968531667,209.62920602338744,32.28,2021-05-30
39,2021-06-01,151.35056377725866,90.58887535981685,212.6596478872316,29.75,2021-05-31
40,2021-06-02,152.60950938595343,92.30965236713435,212.63736657192038,32.35,2021-06-01
41,2021-06-03,153.60625267759195,94.17520391599517,213.95870671643192,33.57,2021-06-02
42,2021-06-04,147.65592651179378,86.60287368077067,209.09630391267183,28.92,2021-06-03
43,2021-06-05,142.7971860702746,82.49070823143117,202.90468015349674,22.23,2021-06-04
44,2021-06-06,139.09353813672635,77.59803385715502,197.46601123252785,19.36,2021-06-05
45,2021-06-07,144.52076735886453,85.39015265853428,202.13206801635172,24.53,2021-06-06
46,2021-06-08,144.13220789543203,84.83244849310282,201.8735679795911,32.5,2021-06-07
47,2021-06-09,146.12116914455072,87.86003015549376,208.4502225731239,27.69,2021-06-08
48,2021-06-10,147.0009318411718,87.81255213653762,202.3876780923937,23.9,2021-06-09
49,2021-06-11,141.34204164619584,84.16588518204871,202.41753360586836,25.83,2021-06-10
50,2021-06-12,137.01256426912153,71.15836286726862,192.77356709748406,23.19,2021-06-11
51,2021-06-13,133.74076119947728,74.1954564978264,193.8219090997427,17.51,2021-06-12
52,2021-06-14,138.82021202236194,80.6734753859629,199.96272568345105,22.66,2021-06-13
53,2021-06-15,138.88236783148525,76.31300376532378,198.94720625716403,23.08,2021-06-14
54,2021-06-16,141.27652348332214,78.60092757784294,201.7167169208019,22.74,2021-06-15
55,2021-06-17,143.29314451567765,81.07985877584169,204.1438717507789,24.81,2021-06-16
56,2021-06-18,137.85495143614747,80.1057215946548,196.52156044674652,24.27,2021-06-17
57,2021-06-19,133.6177313219192,71.00012338772174,196.8936477268366,18.58,2021-06-18
58,2021-06-20,130.65765599323748,71.99537153057837,190.92888110534852,20.78,2021-06-19
59,2021-06-21,136.8666351362669,82.3596783338517,202.18499208179134,46.59,2021-06-20
60,2021-06-22,137.2708863355323,77.43000609883393,195.62792291992642,73.16,2021-06-21
61,2021-06-23,140.7250907674568,83.76307545170012,203.8883368951092,25.29,2021-06-22
62,2021-06-24,142.46758728557134,88.04038568313597,207.347274584113,22.09,2021-06-23
63,2021-06-25,136.34849774374058,76.36641665711132,196.30804981702656,28.01,2021-06-24
64,2021-06-26,132.59363083193585,72.08759810096926,195.5172824114938,18.76,2021-06-25
65,2021-06-27,129.66844489922724,67.38735022737836,188.4821162948908,25.65,2021-06-26
66,2021-06-28,134.79305242339876,74.47018255364425,197.20748701945402,23.71,2021-06-27
67,2021-06-29,134.95328334934942,79.09550959915936,191.7776905350323,26.27,2021-06-28
68,2021-06-30,136.82783016434826,74.0146951794134,195.9817228551785,32.0,2021-06-29
69,2021-07-01,138.24740316671043,78.637494048828,198.73354427252258,25.13,2021-06-30
70,2021-07-02,131.8285285266147,70.82667205319073,191.45567577778021,20.72,2021-07-01
71,2021-07-03,127.11094201242803,66.47411281671421,189.45148876599174,18.84,2021-07-02
72,2021-07-04,123.2717167358615,59.71971510428833,180.34180684928174,16.41,2021-07-03
73,2021-07-05,128.50635671257487,69.03292000464612,187.84706787790822,20.32,2021-07-04
74,2021-07-06,127.33284170116727,69.0383869477653,185.678063822195,54.87,2021-07-05
75,2021-07-07,129.4681411458996,67.63913447702937,189.28156972957171,40.37,2021-07-06
76,2021-07-08,130.51346829861262,74.30913050203702,194.38356309041959,37.48,2021-07-07
77,2021-07-09,123.67982213970602,61.43843255912605,183.9226586102615,30.27,2021-07-08
78,2021-07-10,119.15714706441577,58.161828438891924,184.30380982134497,18.99,2021-07-09
79,2021-07-11,114.54906969234058,49.49392066468009,174.73878363468307,15.8,2021-07-10
80,2021-07-12,119.83795807451506,58.18949341190165,180.51241767876428,30.41,2021-07-11
81,2021-07-13,119.50270560327564,56.27941349394411,178.24159490724182,32.45,2021-07-12
82,2021-07-14,120.92297329745455,54.452314621243985,181.67081935659127,45.97,2021-07-13
83,2021-07-15,121.61977126027455,60.57721838615613,181.42454990338805,45.2,2021-07-14
84,2021-07-16,115.81345317952885,57.64164199186574,175.71436163005757,42.03,2021-07-15
85,2021-07-17,111.41002863994933,53.557933815818224,171.09439683435016,29.98,2021-07-16
86,2021-07-18,107.75624361196304,49.36065184363082,167.77976918052795,30.5,2021-07-17
